Alloy Symbol,deltaE *CO,Filling,Center,Width,Skewness,Kurtosis,Work function,Atomic radius,Spatial extent,Ionization potential,Electron affinity,Pauling electronegativity,Local Pauling electronegativity,Vad2 
Ni3Zr@Ni ,-1.54,0.88,-1.04,1.23,0.92,6.07,5.77,1.38,0.71,7.64,1.16,1.91,1.76,1.16
Ni3Nb@Ni ,-1.35,0.87,-1.49,1.34,0.74,5.63,5.77,1.38,0.71,7.64,1.16,1.91,1.84,1.16
Ni3Mo@Ni ,-1.36,0.87,-1.52,1.37,0.51,5.25,5.77,1.38,0.71,7.64,1.16,1.91,1.96,1.16
Ni3Ru@Ni ,-1.52,0.87,-1.33,1.32,0.27,5.35,5.77,1.38,0.71,7.64,1.16,1.91,1.97,1.16
Ni3Rh@Ni ,-1.56,0.87,-1.3,1.32,0.26,5.41,5.77,1.38,0.71,7.64,1.16,1.91,1.99,1.16
Ni3Pd@Ni ,-1.61,0.87,-1.2,1.27,0.22,6.09,5.77,1.38,0.71,7.64,1.16,1.91,1.97,1.16
Ni3Ag@Ni ,-1.62,0.88,-1.1,1.22,0.18,7.75,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Ni3In@Ni ,-1.63,0.89,-0.99,1.22,-0.48,18.37,5.77,1.38,0.71,7.64,1.16,1.91,1.88,1.16
Ni3Sn@Ni ,-1.63,0.89,-0.98,1.22,0.11,9.69,5.77,1.38,0.71,7.64,1.16,1.91,1.92,1.16
Ni3La@Ni ,-1.47,0.89,-0.75,1.07,1.32,8.28,5.77,1.38,0.71,7.64,1.16,1.91,1.69,1.16
Ni3Ta@Ni ,-1.33,0.87,-1.54,1.4,0.76,5.63,5.77,1.38,0.71,7.64,1.16,1.91,1.81,1.16
Ni3W@Ni ,-1.34,0.87,-1.6,1.43,0.52,5.2,5.77,1.38,0.71,7.64,1.16,1.91,2,1.16
Ni3Re@Ni ,-1.34,0.87,-1.59,1.46,0.26,4.87,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Ni3Os@Ni ,-1.44,0.87,-1.45,1.43,0.07,5.1,5.77,1.38,0.71,7.64,1.16,1.91,1.97,1.16
Ni3Ir@Ni ,-1.58,0.87,-1.3,1.37,0.03,5.6,5.77,1.38,0.71,7.64,1.16,1.91,1.97,1.16
Ni3Pt@Ni ,-1.65,0.87,-1.25,1.33,0.05,6.16,5.77,1.38,0.71,7.64,1.16,1.91,1.99,1.16
Ni3Au@Ni ,-1.68,0.87,-1.12,1.27,-0.06,7.75,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ni3Tl@Ni ,-1.68,0.89,-0.97,1.21,-0.69,17.49,5.77,1.38,0.71,7.64,1.16,1.91,1.84,1.16
Ni3Pb@Ni ,-1.65,0.89,-0.91,1.15,-0.07,12.21,5.77,1.38,0.71,7.64,1.16,1.91,2,1.16
Ni3Bi@Ni ,-1.63,0.89,-1.04,1.23,-0.57,15.32,5.77,1.38,0.71,7.64,1.16,1.91,1.93,1.16
Pd3Sc@Pd ,-0.82,0.93,-1.72,1.39,1.04,5.49,5.9,1.52,0.94,8.34,0.56,2.2,1.98,2.78
Pd3Ti@Pd ,-0.94,0.93,-2.27,1.51,0.78,4.33,5.9,1.52,0.94,8.34,0.56,2.2,2.03,2.78
Pd3V@Pd ,-0.95,0.92,-2.19,1.51,0.64,4.06,5.9,1.52,0.94,8.34,0.56,2.2,2.06,2.78
Pd3Cr@Pd ,-0.99,0.92,-1.87,1.43,0.58,4.23,5.9,1.52,0.94,8.34,0.56,2.2,2.07,2.78
Pd3Mn@Pd ,-1,0.93,-1.75,1.41,0.53,4.39,5.9,1.52,0.94,8.34,0.56,2.2,2.04,2.78
Pd3Co@Pd ,-1.07,0.92,-1.95,1.48,0.35,3.8,5.9,1.52,0.94,8.34,0.56,2.2,2.12,2.78
